data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
0AL8,BROOKWOOD MEDICAL CENTER HELIPORT,BIRMINGHAM,ALABAMA,ANB,ZTL
0AL9,WILSON CREEK ARPT,FLORENCE,ALABAMA,ANB,ZME
0AN2,ARPT,GARY,MAINE,null,null
0AR0,SMH HELIPORT,SPRINGDALE,ARKANSAS,JBR,ZME
0AR2,MISSION FLD-MAROTTI MEML ARPT,CRAWFORDSVILLE,ARKANSAS,JBR,ZME
0AR3,BENT HICKORY AIR RANCH ARPT,POINT CEDAR,ARKANSAS,JBR,ZME
0AR4,OZARKS COMMUNITY HOSPITAL HELIPORT,GRAVETTE,ARKANSAS,JBR,ZME
0AR5,RGNL MEDICAL CENTER HELIPORT,JONESBORO,ARKANSAS,JBR,ZME
0AR6,AMI NTL PARK MEDICAL CENTER HELIPORT,HOT SPRINGS,ARKANSAS,JBR,ZME
0AR8,HOWARD MEML HOSPITAL HELIPORT,NASHVILLE,ARKANSAS,JBR,ZFW
0AR9,EUREKA SPRINGS HOSPITAL HELIPORT,EUREKA SPRINGS,ARKANSAS,JBR,ZME
0AZ0,ARIZONA HEART HOSPITAL HELIPORT,PHOENIX,ARIZONA,PRC,ZAB
0AZ2,WESTERN SKY AIRPARK ARPT,SALOME,ARIZONA,PRC,ZAB
0AZ4,FLYING BUCKET RANCH ARPT,MOBILE,ARIZONA,PRC,ZAB
0AZ5,CASTLE WELL ARPT,MORRISTOWN,ARIZONA,PRC,ZAB
0AZ6,ST JOSEPH'S HOSPITAL HELIPORT,PHOENIX,ARIZONA,PRC,ZAB
0AZ7,SUNSTATE HELIPORT,PHOENIX,ARIZONA,PRC,ZAB
0B1,BETHEL RGNL ARPT,BETHEL,MAINE,BGR,ZBW
0B2,BREWER ARPT,BREWER,MAINE,BGR,ZBW
0B4,HARTINGTON MUNI/ BUD BECKER FLD ARPT,HARTINGTON,NEBRASKA,OLU,ZMP
0B5,TURNERS FALLS ARPT,MONTAGUE,MASSACHUSETTS,BTV,ZBW
0B7,WARREN-SUGARBUSH ARPT,WARREN,VERMONT,BTV,ZBW
0B8,ELIZABETH FLD ARPT,FISHERS ISLAND,NEW YORK,BDR,ZBW
0B9,GOAT ISLAND CGS/WOS,CAPE PORPOISE,MAINE,null,null
0C0,DACY ARPT,HARVARD,ILLINOIS,IKK,ZAU
0C1,TRIPLE R ARPT,DEARBORN,MISSOURI,COU,ZKC
